# Drakos+2020 (arXiv:2003.09452) Fig. 8 orbit S9: bound mass vs time
# digitized from the vector simulation circles; M/Msat anchored to 1 at t=0
t_over_torb,mbound_over_msat,sigma_rel
0.0000,1.0000,2.000000e-02
0.1000,1.0000,2.000000e-02
0.2000,1.0000,2.000000e-02
0.3000,1.0000,2.000000e-02
0.4000,0.9965,2.000000e-02
0.5000,0.9346,2.000000e-02
0.6000,0.8396,2.000000e-02
0.7000,0.7998,2.000000e-02
0.8000,0.7806,2.000000e-02
0.9000,0.7658,2.000000e-02
1.0000,0.7563,2.000000e-02
1.1000,0.7512,2.000000e-02
1.2000,0.7440,2.000000e-02
1.3000,0.7280,2.000000e-02
1.4000,0.6831,2.000000e-02
1.5000,0.6289,2.000000e-02
1.6000,0.6110,2.000000e-02
1.7000,0.5940,2.000000e-02
1.8000,0.5860,2.000000e-02
1.9000,0.5832,2.000000e-02
2.0000,0.5722,2.000000e-02
2.1000,0.5610,2.000000e-02
2.2000,0.5364,2.000000e-02
2.3000,0.4935,2.000000e-02
2.4000,0.4881,2.000000e-02
2.5000,0.4746,2.000000e-02
2.6000,0.4711,2.000000e-02
2.7000,0.4642,2.000000e-02
2.8000,0.4586,2.000000e-02
2.9000,0.4416,2.000000e-02
3.0000,0.4079,2.000000e-02
3.1000,0.4015,2.000000e-02
3.2000,0.3931,2.000000e-02
3.3000,0.3930,2.000000e-02
3.4000,0.3838,2.000000e-02
3.5000,0.3774,2.000000e-02
3.6000,0.3618,2.000000e-02
3.7000,0.3391,2.000000e-02
3.8000,0.3355,2.000000e-02
3.9000,0.3321,2.000000e-02
4.0000,0.3269,2.000000e-02
4.1000,0.3199,2.000000e-02
4.2000,0.3082,2.000000e-02
4.3000,0.2891,2.000000e-02
4.4000,0.2879,2.000000e-02
4.5000,0.2866,2.000000e-02
4.6000,0.2780,2.000000e-02
4.7000,0.2726,2.000000e-02
4.8000,0.2592,2.000000e-02
4.9000,0.2507,2.000000e-02
5.0000,0.2501,2.000000e-02
