# Drakos+2020 (arXiv:2003.09452) Table 1: host + orbit parameters (satellite units)
sim,Mhost_over_Msat,Rvir_over_rs,ra_over_rs,rp_over_rs,va_over_vunit,torb_over_tunit,circularity,eta_rel,Rc_over_Rvir
S1,100,46.4,100,10,0.34,206.8,0.42,0.85,1.26
S2,100,46.4,100,50,0.9,299.4,0.92,0.71,1.63
S3,300,66.9,100,10,0.51,129.7,0.4,1.09,0.88
S4,300,66.9,100,50,1.42,185.4,0.92,0.92,1.13
S5,100,46.4,500,50,0.23,1778.5,0.47,0.24,6.14
S6,300,66.9,25,10,1.5,31.48,0.82,2.29,0.26
S7,50,36.8,80,5,0.19,201.6,0.3,0.86,1.24
S8,50,36.8,90,15,0.37,259.7,0.58,0.76,1.48
S9,10,21.5,40,10,0.3,196.8,0.71,0.88,1.19
S10,10,21.5,25,10,0.42,123.2,0.85,1.14,0.82
