# Du+24 N-body gamma=1, R_p/R_a=1/20: M_bound at apocenters vs orbit number k = t/T_r
# sigma is the relative error on M_bound/M0
# orbit,mbound_over_m0,sigma_rel
0.0,1.000000e+00,4.151379e-04
1.0,1.638210e-01,7.824124e-04
2.0,9.105806e-02,1.016113e-03
3.0,5.629305e-02,1.271576e-03
4.0,3.799956e-02,1.534217e-03
5.0,2.677906e-02,1.817683e-03
6.0,1.963326e-02,2.115452e-03
7.0,1.479724e-02,2.430954e-03
8.0,1.144386e-02,2.759701e-03
9.0,9.008185e-03,3.106748e-03
10.0,7.208271e-03,3.469936e-03
11.0,5.870572e-03,3.842450e-03
12.0,4.833261e-03,4.232571e-03
