# Du+24 N-body gamma=1 (alpha=1,beta=3), R_p/R_a=1/20, apocenter samples
# V_max/V_max0, R_max/R_max0 vs M_bound/M0; sigmas are the N-body's relative errors on the ratios
# x,V_over_V0,R_over_R0,sigma_V_rel,sigma_R_rel
1.000000e+00,1.000000,1.000000,4.764184e-04,4.575662e-03
1.638210e-01,0.816088,0.592561,6.332892e-04,4.575662e-03
9.105806e-02,0.710834,0.454670,7.794055e-04,4.575662e-03
5.629305e-02,0.630615,0.367372,9.435533e-04,4.575662e-03
3.799956e-02,0.568771,0.308568,1.118207e-03,4.575662e-03
2.677906e-02,0.517531,0.265961,1.306383e-03,4.575662e-03
1.963326e-02,0.478013,0.229237,1.510000e-03,4.575662e-03
1.479724e-02,0.443038,0.200154,1.732679e-03,4.575662e-03
1.144386e-02,0.412552,0.180498,1.951323e-03,4.575662e-03
9.008185e-03,0.387044,0.159648,2.204265e-03,4.575662e-03
7.208271e-03,0.365927,0.145842,2.434095e-03,4.575662e-03
5.870572e-03,0.346548,0.134962,2.667443e-03,4.575662e-03
4.833261e-03,0.329298,0.117840,2.999131e-03,4.575662e-03
