# Du+24 N-body gamma=1 (alpha=1,beta=3), R_p/R_a=1/5, apocentre samples
# V_max/V_max0, R_max/R_max0 vs M_bound/M0; sigmas are the N-body's relative errors on the ratios
# x,V_over_V0,R_over_R0,sigma_V_rel,sigma_R_rel
1.000000e+00,1.000000,1.000000,4.782696e-04,4.575662e-03
2.786815e-01,0.893529,0.696429,5.657425e-04,4.575662e-03
1.770719e-01,0.835850,0.596401,6.235838e-04,4.575662e-03
1.324565e-01,0.793866,0.527508,6.770508e-04,4.575662e-03
1.068549e-01,0.761440,0.485014,7.218628e-04,4.575662e-03
8.951304e-02,0.734235,0.448833,7.661876e-04,4.575662e-03
7.720533e-02,0.711203,0.426225,8.030417e-04,4.575662e-03
6.773217e-02,0.690306,0.407379,8.387684e-04,4.575662e-03
6.041085e-02,0.672462,0.384367,8.788528e-04,4.575662e-03
5.444652e-02,0.656614,0.372150,9.094985e-04,4.575662e-03
4.958009e-02,0.642473,0.353404,9.478420e-04,4.575662e-03
